id,polke_id,name,formula,cefr_level
1,,Adjective,ADJ,A1
2,1,AdjectiveAndAdjective,ADJ and ADJ,A1
3,3,AttributiveAdjective,ADJ N,A1
4,125,PredicativeAdjectiveWithBe,SUBJ BE ADJ,A1
5,5,MyBestFriend,my best friend,A1
6,,Adverb,ADV,A1
7,11,VeryAdjective,very ADJ,A1
8,12,VeryTimeAdverb,very ADV.TIME,A1
9,13,DegreeTimeAdverbVerb,ADV.DEGREE/ADV.TIME V,A1
10,14,PlaceAdverbComplement,SUBJ VERB ADV.PLACE,A1
11,148,DegreeAdverb,ADV.DEGREE ADJ,A1
12,16,FrequencyMidAdverb,SUBJ ADV.FREQ V,A1
13,152,FrontAdverb,ADV CLAUSE,A1
14,18,ReallyMidAdverb,SUBJ really V,A1
15,19,TimeEndAdverb,CLAUSE ADV.TIME,A1
16,20,PlaceEndAdverb,CLAUSE ADV.PLACE,A1
17,,AdverbPhrase,ADVP,A1
18,21,VeryAdverb,very ADV,A1
19,,Clause,CLAUSE,A1
20,22,MainClauseAndMainClause,CLAUSE.MAIN and CLAUSE.MAIN,A1
21,23,ClauseAndClauseElliptedSubject,CLAUSE and (ØSUBJ) CLAUSE,A1
22,24,AffirmativeDeclarativeClause,SUBJ V (… ),A1
23,25,NegativeDeclarativeClauseWithBe,SUBJ BE not ADJ,A1
24,26,NegativeDeclarativeClauseLexVerb,SUBJ AUX not V,A1
25,27,AffirmativeDeclarativeClauseModal,SUBJ V.MODAL V,A1
26,,MainClauseSubClause,CLAUSE.MAIN CLAUSE.SUBORD,A1
27,28,AffirmativeInterrogativeClauseWithBe,(wh) BE SUBJ (…),A1
28,,Conjunction,CONJ,A1
29,30,WordAndWord,WORD and WORD,A1
30,31,PhraseAndPhrase,PHRASE and PHRASE,A1
31,32,ClauseAndClause,CLAUSE and CLAUSE,A1
32,33,SentenceAndSentence,SENTENCE and SENTENCE,A1
33,36,BecauseSubClause,because CLAUSE.SUBORD,A1
34,,Determiner,DET,A1
35,37,DeterminerWithNoun,DET N,A1
36,38,ArticleAWithAdjective,a ADJ N,A1
37,39,ArticleAVeryAdjective,a very ADJ N,A1
38,40,PrepTheNoun,PREP the N,A1
39,41,PrepNoArticle,PREP N,A1
40,43,DemonstrativeThisSingularNoun,this N.SG,A1
41,46,PossessiveWithNoun,DET.POSS N,A1
42,47,QuantifierWithPluralNoun,QUANT N.PL,A1
43,48,QuantifierWithSingularNoun,QUANT N.SG,A1
44,49,FutureWillAffirmative,SUBJ will V,A1
45,,Adjunct,ADJUNCT,A1
46,,Complement,COMP,A1
47,,Object,OBJ,A1
48,,DirectObject,OBJ.D,A1
49,,IndirectObject,OBJ.I,A1
50,,Predicate,PRED,A1
51,,Subject,SUBJ,A1
52,51,ModalCanAffirmative,SUBJ can V,A1
53,52,ModalCanNegative,SUBJ cannot/can't V,A1
54,53,ModalCanQuestion,(WH) can SUBJ V,A1
55,58,ModalWillAffirmative,SUBJ will V,A1
56,60,ModalWouldLikeAffirmative,SUBJ would like to V.INF,A1
57,,NounPhrase,NP,A1
58,63,DeterminerWithNoun,DET N,A1
59,64,NounPhraseDeterminerAdjectiveNoun,DET ADJ N,A1
60,65,NounPhraseAdjectivePluralNoun,ADJ N.PL,A1
61,66,NounPhraseNounNoun,N N,A1
62,,Noun,N,A1
63,67,CommonNoun,N.COMMON,A1
64,68,ProperNoun,N.PROPER,A1
65,69,CompoundNoun,N-N,A1
66,,PluralNoun,N.PL,
67,70,PluralSForm,N.PL-s,A1
68,71,NounPhraseAsSubject,NP.SUBJ V,A1
69,72,NounPhraseAsObject,SUBJ V NP.OBJ,A1
70,73,NounPhraseAsPrepComplement,PREP NP,A1
71,74,NounPhraseAsBeComplement,SUBJ BE NP,A1
72,75,NounPhraseAADJ.SUPunct,NP.TIME (ADJUNCT),A1
73,290,PastSimpleAffirmative,SUBJ V.PAST (OBJ/COMP),A1
74,,PastSimpleBeAffirmative,SUBJ was/were (COMP),A1
75,,PastSimpleRegularVerbForm,V-ed,A1
76,,PastSimpleIrregularVerbForm,V.PAST(irregular),A1
77,,Preposition,PREP,A1
78,78,PrepositionSimple,PREP.S,A1
79,79,PrepositionPlusNounPhrase,PREP NP,A1
80,80,PresentContinuousAffirmative,SUBJ BE V-ing,A1
81,82,PresentSimpleAffirmative,SUBJ V,A1
82,,PresentSimpleThirdPersonS,SUBJ V-s,A1
